Data Download from NCSES Interactive Data Tool

Filters,Selected values
"Institution Name","8 of 1070"

,,,,"<measures>","Graduate Students by Demographic Characteristics and Enrollment",
"2016","Yale University","Statistics","First Time Students","Total for selected values","19",
"2016","Yale University","Statistics","First Time Students","Female","12",
"2016","Yale University","Statistics","First Time Students","Male","7",
"2016","Yale University","Statistics","Not collected","Total for selected values","2",
"2016","Yale University","Statistics","Not collected","Male","2",
"2016","Yale University","Statistics","Returning Students","Total for selected values","15",
"2016","Yale University","Statistics","Returning Students","Female","7",
"2016","Yale University","Statistics","Returning Students","Male","8",
"2015","Total for selected values","Total for selected values","Total for selected values","Total for selected values","27,460",
"2015","Dartmouth College","Total for selected values","Total for selected values","Total for selected values","926",
"2015","Dartmouth College","Biochemistry","Total for selected values","Total for selected values","36",
"2015","Dartmouth College","Biochemistry","Returning Students","Total for selected values","36",
"2015","Dartmouth College","Biochemistry","Returning Students","Female","20",
"2015","Dartmouth College","Biochemistry","Returning Students","Male","16",
"2015","Dartmouth College","Biology","Total for selected values","Total for selected values","73",
"2015","Dartmouth College","Biology","First Time Students","Total for selected values","39",
"2015","Dartmouth College","Biology","First Time Students","Female","21",
"2015","Dartmouth College","Biology","First Time Students","Male","18",
"2015","Dartmouth College","Biology","Returning Students","Total for selected values","34",
"2015","Dartmouth College","Biology","Returning Students","Female","20",
"2015","Dartmouth College","Biology","Returning Students","Male","14",
"2015","Dartmouth College","Biosciences not elsewhere classified","Total for selected values","Total for selected values","51",
"2015","Dartmouth College","Biosciences not elsewhere classified","First Time Students","Total for selected values","10",
"2015","Dartmouth College","Biosciences not elsewhere classified","First Time Students","Female","5",
"2015","Dartmouth College","Biosciences not elsewhere classified","First Time Students","Male","5",
"2015","Dartmouth College","Biosciences not elsewhere classified","Returning Students","Total for selected values","41",
"2015","Dartmouth College","Biosciences not elsewhere classified","Returning Students","Female","26",
"2015","Dartmouth College","Biosciences not elsewhere classified","Returning Students","Male","15",
"2015","Dartmouth College","Chemistry","Total for selected values","Total for selected values","47",
"2015","Dartmouth College","Chemistry","First Time Students","Total for selected values","11",
"2015","Dartmouth College","Chemistry","First Time Students","Female","5",
"2015","Dartmouth College","Chemistry","First Time Students","Male","6",
"2015","Dartmouth College","Chemistry","Returning Students","Total for selected values","36",
"2015","Dartmouth College","Chemistry","Returning Students","Female","17",
"2015","Dartmouth College","Chemistry","Returning Students","Male","19",
"2015","Dartmouth College","Computer sciences","Total for selected values","Total for selected values","111",
"2015","Dartmouth College","Computer sciences","First Time Students","Total for selected values","51",
"2015","Dartmouth College","Computer sciences","First Time Students","Female","22",
"2015","Dartmouth College","Computer sciences","First Time Students","Male","29",
"2015","Dartmouth College","Computer sciences","Returning Students","Total for selected values","60",
"2015","Dartmouth College","Computer sciences","Returning Students","Female","12",
"2015","Dartmouth College","Computer sciences","Returning Students","Male","48",
"2015","Dartmouth College","Engineering not elsewhere classified","Total for selected values","Total for selected values","193",
"2015","Dartmouth College","Engineering not elsewhere classified","First Time Students","Total for selected values","79",
